hpi	cell_line	seqnames	strand	cluster	cluster_start	cluster_end	cluster_peak	cluster_width	cluster_total_count	meta_cluster
6h	PC-12	LT934125.1	+	404	107368	107448	107422	81	22	59
6h	PC-12	LT934125.1	+	405	107473	107505	107483	33	33	59
6h	PC-12	LT934125.1	+	425	114979	115029	114985	51	4550	59
6h	PC-12	LT934125.1	+	434	116106	116203	116137	98	41	59
6h	PC-12	LT934125.1	+	439	116544	116606	116595	63	20	59
6h	PC-12	LT934125.1	+	440	116619	116715	116628	97	29	59
6h	PC-12	LT934125.1	+	445	117769	117857	117769	89	26	59
6h	PC-12	LT934125.1	+	453	118854	118929	118864	76	2198	59
6h	PC-12	LT934125.1	+	459	119554	119646	119567	93	19	59
6h	PC-12	LT934125.1	+	462	119941	120036	119941	96	19	59
6h	PC-12	LT934125.1	+	466	120555	120558	120555	4	73	59
6h	PC-12	LT934125.1	+	473	121718	121809	121784	92	606	59
6h	PC-12	LT934125.1	+	486	122978	123026	122979	49	180	59
6h	PC-12	LT934125.1	+	498	124538	124617	124563	80	23	59
6h	PC-12	LT934125.1	+	499	124736	124793	124756	58	184	59
6h	PC-12	LT934125.1	+	504	125150	125231	125225	82	675	59
6h	PC-12	LT934125.1	+	518	128184	128221	128185	38	26	59
6h	PC-12	LT934125.1	+	528	136157	136201	136158	45	31	59
6h	PC-12	LT934125.1	+	529	136265	136351	136348	87	22	59
8h	PC-12	LT934125.1	-	5	3291	3351	3305	61	17	46
8h	PC-12	LT934125.1	-	10	3877	3953	3910	77	40	46
8h	PC-12	LT934125.1	-	31	9433	9533	9494	101	61	46
8h	PC-12	LT934125.1	-	61	17339	17402	17341	64	44	46
8h	PC-12	LT934125.1	-	63	17535	17593	17551	59	18	46
8h	PC-12	LT934125.1	-	79	19462	19523	19471	62	254	46
8h	PC-12	LT934125.1	-	87	21894	21971	21941	78	40	46
8h	PC-12	LT934125.1	-	102	25301	25363	25313	63	16	46
8h	PC-12	LT934125.1	-	111	28738	28815	28759	78	25	46
8h	PC-12	LT934125.1	-	118	29327	29418	29411	92	1001	46
8h	PC-12	LT934125.1	-	136	32836	32890	32842	55	22	46
8h	PC-12	LT934125.1	-	151	34379	34478	34478	100	24	46
8h	PC-12	LT934125.1	-	164	41992	41997	41995	6	18	46
8h	PC-12	LT934125.1	-	180	44886	44901	44893	16	30	46
8h	PC-12	LT934125.1	-	205	51114	51184	51147	71	175	46
8h	PC-12	LT934125.1	-	222	55358	55448	55438	91	37	46
8h	PC-12	LT934125.1	-	224	55532	55618	55532	87	17	46
8h	PC-12	LT934125.1	-	225	55661	55738	55679	78	28	46
8h	PC-12	LT934125.1	-	229	56045	56129	56081	85	20	46
8h	PC-12	LT934125.1	-	230	56149	56235	56188	87	949	46
8h	PC-12	LT934125.1	-	235	56915	56950	56946	36	126	46
8h	PC-12	LT934125.1	-	244	58553	58573	58570	21	27	46
8h	PC-12	LT934125.1	-	256	63248	63286	63283	39	17	46
8h	PC-12	LT934125.1	-	257	63300	63368	63315	69	19	46
8h	PC-12	LT934125.1	-	258	63375	63438	63420	64	7174	46
8h	PC-12	LT934125.1	-	274	65718	65753	65752	36	76	46
8h	PC-12	LT934125.1	-	295	70431	70531	70451	101	44	46
8h	PC-12	LT934125.1	-	329	80604	80686	80649	83	18	46
8h	PC-12	LT934125.1	-	330	80709	80796	80709	88	17	46
8h	PC-12	LT934125.1	-	331	80814	80871	80858	58	33	46
8h	PC-12	LT934125.1	-	339	81754	81813	81804	60	379	46
8h	PC-12	LT934125.1	-	340	81836	81917	81897	82	24	46
8h	PC-12	LT934125.1	-	355	87134	87179	87161	46	70	46
8h	PC-12	LT934125.1	-	375	92261	92343	92303	83	24	46
8h	PC-12	LT934125.1	-	381	92913	92973	92933	61	278	46
8h	PC-12	LT934125.1	-	384	93590	93686	93654	97	39	46
8h	PC-12	LT934125.1	-	388	94458	94529	94526	72	22	46
8h	PC-12	LT934125.1	-	391	94919	94949	94947	31	96	46
8h	PC-12	LT934125.1	-	408	97280	97344	97339	65	78	46
8h	PC-12	LT934125.1	-	409	97358	97383	97361	26	86	46
8h	PC-12	LT934125.1	-	436	107339	107425	107369	87	26	46
8h	PC-12	LT934125.1	-	437	107543	107618	107559	76	34	46
8h	PC-12	LT934125.1	-	455	115527	115556	115528	30	43	46
8h	PC-12	LT934125.1	-	456	115606	115649	115634	44	37	46
8h	PC-12	LT934125.1	-	457	115653	115718	115670	66	26	46
8h	PC-12	LT934125.1	-	467	119033	119070	119058	38	18	46
8h	PC-12	LT934125.1	-	473	119841	119935	119923	95	26	46
8h	PC-12	LT934125.1	-	477	120408	120454	120431	47	21	46
8h	PC-12	LT934125.1	-	485	122413	122497	122462	85	20	46
8h	PC-12	LT934125.1	-	501	126910	126972	126945	63	29	46
8h	PC-12	LT934125.1	-	502	126978	127071	127017	94	25	46
8h	PC-12	LT934125.1	-	503	127081	127140	127111	60	22	46
8h	PC-12	LT934125.1	-	505	127215	127293	127242	79	29	46
8h	PC-12	LT934125.1	-	508	127434	127501	127434	68	24	46
8h	PC-12	LT934125.1	-	510	127563	127622	127573	60	22	46
8h	PC-12	LT934125.1	-	512	127713	127779	127718	67	24	46
8h	PC-12	LT934125.1	-	519	128658	128705	128705	48	33	46
8h	PC-12	LT934125.1	-	520	128725	128767	128732	43	1445	46
8h	PC-12	LT934125.1	-	537	136218	136302	136235	85	76	46
8h	PC-12	LT934125.1	+	2	978	1001	990	24	56	59
8h	PC-12	LT934125.1	+	5	1325	1412	1337	88	97	59
8h	PC-12	LT934125.1	+	7	1588	1604	1600	17	119	59
8h	PC-12	LT934125.1	+	10	1815	1889	1869	75	17	59
8h	PC-12	LT934125.1	+	25	7588	7599	7588	12	86	59
8h	PC-12	LT934125.1	+	34	9107	9149	9113	43	154	59
8h	PC-12	LT934125.1	+	35	9208	9301	9270	94	428	59
8h	PC-12	LT934125.1	+	39	9604	9653	9646	50	185	59
8h	PC-12	LT934125.1	+	40	9668	9745	9668	78	16	59
8h	PC-12	LT934125.1	+	45	10086	10161	10108	76	19	59
8h	PC-12	LT934125.1	+	48	10431	10434	10431	4	29	59
8h	PC-12	LT934125.1	+	62	14040	14089	14048	50	177	59
8h	PC-12	LT934125.1	+	121	31091	31189	31098	99	409	59
8h	PC-12	LT934125.1	+	130	32016	32114	32038	99	2205	59
8h	PC-12	LT934125.1	+	131	32131	32227	32167	97	38	59
8h	PC-12	LT934125.1	+	132	32238	32322	32269	85	32	59
8h	PC-12	LT934125.1	+	157	44779	44841	44812	63	344	59
8h	PC-12	LT934125.1	+	164	46002	46032	46023	31	39	59
8h	PC-12	LT934125.1	+	166	46233	46286	46235	54	16	59
8h	PC-12	LT934125.1	+	174	47282	47348	47315	67	18	59
8h	PC-12	LT934125.1	+	186	48547	48634	48567	88	803	59
8h	PC-12	LT934125.1	+	187	48655	48731	48691	77	20	59
8h	PC-12	LT934125.1	+	189	48821	48890	48848	70	23	59
8h	PC-12	LT934125.1	+	190	48904	48941	48925	38	17	59
8h	PC-12	LT934125.1	+	193	49082	49147	49114	66	22	59
8h	PC-12	LT934125.1	+	195	49224	49297	49261	74	19	59
8h	PC-12	LT934125.1	+	197	49372	49451	49444	80	19	59
8h	PC-12	LT934125.1	+	205	51233	51269	51235	37	194	59
8h	PC-12	LT934125.1	+	218	52437	52496	52460	60	326	59
8h	PC-12	LT934125.1	+	229	53606	53655	53648	50	196	59
8h	PC-12	LT934125.1	+	243	54887	54940	54938	54	18	59
8h	PC-12	LT934125.1	+	247	55303	55355	55303	53	19	59
8h	PC-12	LT934125.1	+	250	55705	55782	55712	78	29	59
8h	PC-12	LT934125.1	+	261	59007	59074	59068	68	285	59
8h	PC-12	LT934125.1	+	272	60232	60260	60234	29	61	59
8h	PC-12	LT934125.1	+	295	65749	65830	65807	82	20	59
8h	PC-12	LT934125.1	+	296	66335	66425	66338	91	108	59
8h	PC-12	LT934125.1	+	321	69765	69845	69765	81	20	59
8h	PC-12	LT934125.1	+	323	70012	70110	70090	99	29	59
8h	PC-12	LT934125.1	+	328	70525	70567	70531	43	870	59
8h	PC-12	LT934125.1	+	341	72758	72763	72759	6	17	59
8h	PC-12	LT934125.1	+	347	74381	74445	74400	65	293	59
8h	PC-12	LT934125.1	+	365	78035	78062	78044	28	23	59
8h	PC-12	LT934125.1	+	376	79432	79500	79444	69	680	59
8h	PC-12	LT934125.1	+	380	79742	79807	79786	66	23	59
8h	PC-12	LT934125.1	+	381	79818	79878	79865	61	16	59
8h	PC-12	LT934125.1	+	424	91356	91448	91409	93	68	59
8h	PC-12	LT934125.1	+	432	92451	92487	92453	37	26	59
8h	PC-12	LT934125.1	+	478	107389	107432	107422	44	24	59
8h	PC-12	LT934125.1	+	479	107444	107499	107482	56	59	59
8h	PC-12	LT934125.1	+	496	114950	114992	114985	43	1442	59
8h	PC-12	LT934125.1	+	497	115012	115059	115012	48	33	59
8h	PC-12	LT934125.1	+	503	115890	115974	115920	85	17	59
8h	PC-12	LT934125.1	+	505	116072	116154	116144	83	26	59
8h	PC-12	LT934125.1	+	507	116256	116334	116261	79	30	59
8h	PC-12	LT934125.1	+	509	116424	116502	116424	79	29	59
8h	PC-12	LT934125.1	+	511	116577	116636	116606	60	22	59
8h	PC-12	LT934125.1	+	512	116646	116739	116700	94	25	59
8h	PC-12	LT934125.1	+	513	116745	116807	116772	63	29	59
8h	PC-12	LT934125.1	+	516	117603	117607	117607	5	20	59
8h	PC-12	LT934125.1	+	517	117768	117799	117769	32	43	59
8h	PC-12	LT934125.1	+	525	118857	118947	118864	91	1987	59
8h	PC-12	LT934125.1	+	535	119794	119844	119844	51	21	59
8h	PC-12	LT934125.1	+	536	119854	119919	119854	66	23	59
8h	PC-12	LT934125.1	+	537	119938	119988	119941	51	22	59
8h	PC-12	LT934125.1	+	539	120075	120164	120081	90	24	59
8h	PC-12	LT934125.1	+	542	120312	120403	120312	92	21	59
8h	PC-12	LT934125.1	+	543	120555	120557	120555	3	31	59
8h	PC-12	LT934125.1	+	549	121724	121804	121784	81	307	59
8h	PC-12	LT934125.1	+	559	122922	122988	122979	67	149	59
8h	PC-12	LT934125.1	+	574	124734	124790	124756	57	243	59
8h	PC-12	LT934125.1	+	577	125027	125122	125058	96	19	59
8h	PC-12	LT934125.1	+	578	125152	125246	125225	95	651	59
8h	PC-12	LT934125.1	+	586	125889	125943	125913	55	16	59
8h	PC-12	LT934125.1	+	587	125954	126053	125954	100	17	59
8h	PC-12	LT934125.1	+	591	127999	128064	128047	66	26	59
8h	PC-12	LT934125.1	+	592	128068	128111	128083	44	37	59
8h	PC-12	LT934125.1	+	593	128161	128190	128189	30	44	59
8h	PC-12	LT934125.1	+	611	136099	136174	136158	76	34	59
8h	PC-12	LT934125.1	+	612	136292	136378	136348	87	26	59
12h	PK-15	LT934125.1	+	4	940	1028	990	89	407	59
12h	PK-15	LT934125.1	+	10	1591	1669	1600	79	712	59
12h	PK-15	LT934125.1	+	27	7548	7614	7588	67	324	59
12h	PK-15	LT934125.1	+	38	9079	9136	9113	58	3945	59
12h	PK-15	LT934125.1	+	40	9254	9303	9270	50	5659	59
12h	PK-15	LT934125.1	+	44	9511	9604	9548	94	259	59
12h	PK-15	LT934125.1	+	45	9620	9681	9646	62	3312	59
12h	PK-15	LT934125.1	+	55	10430	10466	10431	37	603	59
12h	PK-15	LT934125.1	+	68	11761	11811	11793	51	318	59
12h	PK-15	LT934125.1	+	92	14033	14057	14048	25	3081	59
12h	PK-15	LT934125.1	+	115	15726	15805	15750	80	221	59
12h	PK-15	LT934125.1	+	178	31034	31121	31098	88	4507	59
12h	PK-15	LT934125.1	+	191	32034	32095	32038	62	36987	59
12h	PK-15	LT934125.1	+	193	32154	32229	32161	76	288	59
12h	PK-15	LT934125.1	+	229	44773	44869	44812	97	7605	59
12h	PK-15	LT934125.1	+	243	45942	46036	46024	95	410	59
12h	PK-15	LT934125.1	+	272	48547	48602	48567	56	1542	59
12h	PK-15	LT934125.1	+	298	51227	51303	51235	77	3003	59
12h	PK-15	LT934125.1	+	312	52386	52475	52460	90	2422	59
12h	PK-15	LT934125.1	+	329	53632	53681	53648	50	8761	59
12h	PK-15	LT934125.1	+	370	59007	59055	59044	49	248	59
12h	PK-15	LT934125.1	+	371	59065	59148	59068	84	576	59
12h	PK-15	LT934125.1	+	382	60224	60265	60234	42	443	59
12h	PK-15	LT934125.1	+	423	66327	66360	66338	34	2110	59
12h	PK-15	LT934125.1	+	458	69233	69311	69244	79	628	59
12h	PK-15	LT934125.1	+	470	70046	70133	70090	88	285	59
12h	PK-15	LT934125.1	+	475	70479	70579	70531	101	16709	59
12h	PK-15	LT934125.1	+	508	74396	74477	74402	82	6550	59
12h	PK-15	LT934125.1	+	549	79437	79507	79444	71	7805	59
12h	PK-15	LT934125.1	+	616	91360	91431	91409	72	471	59
12h	PK-15	LT934125.1	+	696	107448	107494	107482	47	476	59
12h	PK-15	LT934125.1	+	698	107586	107653	107614	68	230	59
12h	PK-15	LT934125.1	+	739	114973	115034	114985	62	8787	59
12h	PK-15	LT934125.1	+	765	117600	117646	117607	47	227	59
12h	PK-15	LT934125.1	+	777	118827	118913	118864	87	24325	59
12h	PK-15	LT934125.1	+	798	120553	120650	120555	98	661	59
12h	PK-15	LT934125.1	+	810	121781	121873	121784	93	4078	59
12h	PK-15	LT934125.1	+	823	122906	122996	122979	91	1394	59
12h	PK-15	LT934125.1	+	843	124735	124799	124756	65	5504	59
12h	PK-15	LT934125.1	+	848	125171	125236	125225	66	4693	59
12h	PK-15	LT934125.1	+	905	136154	136178	136158	25	223	59
12h	PK-15	LT934125.1	-	50	9455	9534	9494	80	342	46
12h	PK-15	LT934125.1	-	95	17333	17379	17341	47	229	46
12h	PK-15	LT934125.1	-	121	19446	19524	19471	79	4352	46
12h	PK-15	LT934125.1	-	179	29348	29418	29412	71	12391	46
12h	PK-15	LT934125.1	-	305	44842	44898	44889	57	321	46
12h	PK-15	LT934125.1	-	334	51136	51187	51147	52	1356	46
12h	PK-15	LT934125.1	-	366	55651	55703	55679	53	270	46
12h	PK-15	LT934125.1	-	374	56143	56201	56188	59	18250	46
12h	PK-15	LT934125.1	-	383	56933	56981	56946	49	2130	46
12h	PK-15	LT934125.1	-	399	58525	58575	58570	51	226	46
12h	PK-15	LT934125.1	-	424	63300	63385	63375	86	385	46
12h	PK-15	LT934125.1	-	425	63388	63454	63420	67	154925	46
12h	PK-15	LT934125.1	-	432	64085	64178	64127	94	259	46
12h	PK-15	LT934125.1	-	449	65685	65753	65750	69	593	46
12h	PK-15	LT934125.1	-	529	80775	80860	80820	86	252	46
12h	PK-15	LT934125.1	-	530	80867	80953	80868	87	259	46
12h	PK-15	LT934125.1	-	543	81794	81844	81804	51	13468	46
12h	PK-15	LT934125.1	-	569	87152	87215	87161	64	448	46
12h	PK-15	LT934125.1	-	604	92864	92955	92933	92	7975	46
12h	PK-15	LT934125.1	-	612	93645	93739	93654	95	354	46
12h	PK-15	LT934125.1	-	623	94896	94953	94947	58	633	46
12h	PK-15	LT934125.1	-	641	97318	97368	97361	51	287	46
12h	PK-15	LT934125.1	-	706	107539	107563	107559	25	223	46
12h	PK-15	LT934125.1	-	822	128655	128744	128732	90	8795	46
12h	PK-15	LT934125.1	-	864	136064	136131	136103	68	230	46
12h	PK-15	LT934125.1	-	866	136180	136244	136235	65	514	46
1h	PK-15	LT934125.1	+	6	48567	48567	48567	1	5	59
1h	PK-15	LT934125.1	+	17	79440	79444	79444	5	6	59
1h	PK-15	LT934125.1	+	22	104721	104819	104721	99	8	59
1h	PK-15	LT934125.1	+	23	106594	106601	106594	8	5	59
1h	PK-15	LT934125.1	+	25	114985	114988	114985	4	5	59
1h	PK-15	LT934125.1	+	30	118860	118866	118866	7	8	59
1h	PK-15	LT934125.1	+	37	136156	136162	136158	7	63	59
1h	PK-15	LT934125.1	+	50	140733	140808	140808	76	7	60
1h	PK-15	LT934125.1	-	8	63410	63420	63416	11	5	46
1h	PK-15	LT934125.1	-	11	97337	97361	97339	25	12	46
1h	PK-15	LT934125.1	-	16	102909	102984	102909	76	7	46
1h	PK-15	LT934125.1	-	29	107555	107561	107559	7	63	46
1h	PK-15	LT934125.1	-	35	128729	128732	128732	4	5	46
1h	PK-15	LT934125.1	-	37	137116	137123	137123	8	5	47
1h	PK-15	LT934125.1	-	38	138898	138996	138898	99	8	48
2h	PK-15	LT934125.1	-	8	3905	3942	3910	38	27	48
2h	PK-15	LT934125.1	-	17	9451	9497	9494	47	25	48
2h	PK-15	LT934125.1	-	25	19469	19473	19471	5	13	48
2h	PK-15	LT934125.1	-	30	21938	21968	21938	31	6	48
2h	PK-15	LT934125.1	-	35	22904	22955	22904	52	5	48
2h	PK-15	LT934125.1	-	40	25310	25315	25313	6	20	48
2h	PK-15	LT934125.1	-	44	29372	29414	29411	43	23	48
2h	PK-15	LT934125.1	-	49	34446	34480	34474	35	19	48
2h	PK-15	LT934125.1	-	54	51129	51182	51147	54	18	48
2h	PK-15	LT934125.1	-	60	56115	56195	56188	81	92	48
2h	PK-15	LT934125.1	-	65	63376	63445	63420	70	483	48
2h	PK-15	LT934125.1	-	69	65744	65752	65752	9	5	48
2h	PK-15	LT934125.1	-	84	81804	81808	81804	5	26	48
2h	PK-15	LT934125.1	-	88	92898	92936	92933	39	22	48
2h	PK-15	LT934125.1	-	92	95973	96057	95973	85	5	48
2h	PK-15	LT934125.1	-	102	97331	97366	97337	36	156	48
2h	PK-15	LT934125.1	-	113	107472	107563	107559	92	39	48
2h	PK-15	LT934125.1	-	126	126958	127032	126958	75	6	48
2h	PK-15	LT934125.1	-	127	127101	127199	127101	99	12	48
2h	PK-15	LT934125.1	-	128	127254	127341	127254	88	8	48
2h	PK-15	LT934125.1	-	131	127587	127611	127611	25	5	48
2h	PK-15	LT934125.1	-	136	128634	128732	128732	99	157	48
2h	PK-15	LT934125.1	-	141	136235	136316	136235	82	8	48
2h	PK-15	LT934125.1	+	1	1331	1429	1337	99	57	60
2h	PK-15	LT934125.1	+	4	7589	7594	7591	6	6	60
2h	PK-15	LT934125.1	+	7	9267	9275	9270	9	71	60
2h	PK-15	LT934125.1	+	8	9550	9647	9643	98	11	60
2h	PK-15	LT934125.1	+	15	14047	14054	14048	8	24	60
2h	PK-15	LT934125.1	+	30	31030	31104	31098	75	23	60
2h	PK-15	LT934125.1	+	32	31994	32080	32038	87	56	60
2h	PK-15	LT934125.1	+	35	44810	44814	44812	5	26	60
2h	PK-15	LT934125.1	+	41	48505	48572	48567	68	109	60
2h	PK-15	LT934125.1	+	49	51148	51241	51235	94	22	60
2h	PK-15	LT934125.1	+	51	52438	52494	52460	57	59	60
2h	PK-15	LT934125.1	+	55	53648	53684	53648	37	16	60
2h	PK-15	LT934125.1	+	63	59044	59077	59068	34	59	60
2h	PK-15	LT934125.1	+	66	60232	60258	60239	27	9	60
2h	PK-15	LT934125.1	+	74	66338	66344	66338	7	6	60
2h	PK-15	LT934125.1	+	81	70529	70534	70531	6	41	60
2h	PK-15	LT934125.1	+	87	74400	74405	74402	6	19	60
2h	PK-15	LT934125.1	+	93	79437	79527	79444	91	47	60
2h	PK-15	LT934125.1	+	98	83976	84011	83978	36	5	60
2h	PK-15	LT934125.1	+	114	107401	107482	107482	82	8	60
2h	PK-15	LT934125.1	+	119	114985	115083	114985	99	157	60
2h	PK-15	LT934125.1	+	124	116106	116130	116106	25	5	60
2h	PK-15	LT934125.1	+	127	116376	116463	116376	88	8	60
2h	PK-15	LT934125.1	+	128	116518	116616	116518	99	12	60
2h	PK-15	LT934125.1	+	129	116685	116759	116748	75	7	60
2h	PK-15	LT934125.1	+	131	117769	117802	117769	34	18	60
2h	PK-15	LT934125.1	+	134	118860	118899	118864	40	79	60
2h	PK-15	LT934125.1	+	141	121784	121804	121784	21	10	60
2h	PK-15	LT934125.1	+	145	122979	122983	122979	5	18	60
2h	PK-15	LT934125.1	+	151	124756	124764	124756	9	18	60
2h	PK-15	LT934125.1	+	153	125192	125230	125225	39	101	60
2h	PK-15	LT934125.1	+	162	136154	136245	136158	92	39	60
4h	PK-15	LT934125.1	-	9	3877	3959	3910	83	59	48
4h	PK-15	LT934125.1	-	24	9465	9532	9494	68	162	48
4h	PK-15	LT934125.1	-	33	17333	17373	17341	41	18	48
4h	PK-15	LT934125.1	-	47	19440	19473	19471	34	72	48
4h	PK-15	LT934125.1	-	53	21937	21985	21941	49	21	48
4h	PK-15	LT934125.1	-	68	25298	25315	25313	18	28	48
4h	PK-15	LT934125.1	-	75	29263	29344	29288	82	14	48
4h	PK-15	LT934125.1	-	76	29380	29417	29411	38	671	48
4h	PK-15	LT934125.1	-	90	34420	34478	34478	59	15	48
4h	PK-15	LT934125.1	-	102	44886	44893	44889	8	14	48
4h	PK-15	LT934125.1	-	110	50955	51010	50998	56	13	48
4h	PK-15	LT934125.1	-	111	51025	51097	51094	73	24	48
4h	PK-15	LT934125.1	-	112	51128	51184	51147	57	152	48
4h	PK-15	LT934125.1	-	118	55366	55448	55378	83	19	48
4h	PK-15	LT934125.1	-	124	55945	56014	55995	70	13	48
4h	PK-15	LT934125.1	-	126	56107	56158	56115	52	38	48
4h	PK-15	LT934125.1	-	127	56176	56268	56188	93	730	48
4h	PK-15	LT934125.1	-	131	56943	56967	56946	25	59	48
4h	PK-15	LT934125.1	-	140	59276	59335	59277	60	20	48
4h	PK-15	LT934125.1	-	142	63335	63424	63420	90	3828	48
4h	PK-15	LT934125.1	-	150	65746	65752	65750	7	32	48
4h	PK-15	LT934125.1	-	178	80796	80868	80858	73	26	48
4h	PK-15	LT934125.1	-	185	81770	81813	81804	44	122	48
4h	PK-15	LT934125.1	-	186	81836	81900	81897	65	15	48
4h	PK-15	LT934125.1	-	193	87088	87163	87161	76	63	48
4h	PK-15	LT934125.1	-	203	92271	92321	92303	51	19	48
4h	PK-15	LT934125.1	-	205	92586	92652	92630	67	13	48
4h	PK-15	LT934125.1	-	207	92920	92971	92933	52	167	48
4h	PK-15	LT934125.1	-	212	93651	93701	93654	51	49	48
4h	PK-15	LT934125.1	-	215	94509	94565	94526	57	28	48
4h	PK-15	LT934125.1	-	216	94850	94948	94947	99	58	48
4h	PK-15	LT934125.1	-	226	96776	96857	96843	82	13	48
4h	PK-15	LT934125.1	-	230	97275	97368	97361	94	592	48
4h	PK-15	LT934125.1	-	248	107044	107099	107099	56	13	48
4h	PK-15	LT934125.1	-	251	107360	107428	107369	69	92	48
4h	PK-15	LT934125.1	-	252	107516	107560	107559	45	47	48
4h	PK-15	LT934125.1	-	259	115492	115532	115532	41	17	48
4h	PK-15	LT934125.1	-	261	115628	115702	115638	75	16	48
4h	PK-15	LT934125.1	-	278	126884	126969	126926	86	24	48
4h	PK-15	LT934125.1	-	279	126980	127047	126997	68	20	48
4h	PK-15	LT934125.1	-	280	127062	127137	127122	76	16	48
4h	PK-15	LT934125.1	-	282	127254	127341	127272	88	25	48
4h	PK-15	LT934125.1	-	285	127517	127597	127597	81	18	48
4h	PK-15	LT934125.1	-	288	127876	127930	127902	55	18	48
4h	PK-15	LT934125.1	-	293	128692	128738	128732	47	2001	48
4h	PK-15	LT934125.1	-	305	136180	136241	136235	62	64	48
4h	PK-15	LT934125.1	-	306	136267	136326	136285	60	63	48
4h	PK-15	LT934125.1	+	3	978	1036	990	59	20	60
4h	PK-15	LT934125.1	+	4	1305	1340	1337	36	189	60
4h	PK-15	LT934125.1	+	5	1346	1407	1351	62	19	60
4h	PK-15	LT934125.1	+	7	1600	1604	1600	5	22	60
4h	PK-15	LT934125.1	+	14	7587	7631	7588	45	273	60
4h	PK-15	LT934125.1	+	16	7778	7834	7811	57	14	60
4h	PK-15	LT934125.1	+	21	9098	9160	9113	63	37	60
4h	PK-15	LT934125.1	+	22	9266	9338	9270	73	627	60
4h	PK-15	LT934125.1	+	25	9604	9651	9643	48	154	60
4h	PK-15	LT934125.1	+	26	9666	9742	9699	77	15	60
4h	PK-15	LT934125.1	+	43	14042	14052	14048	11	226	60
4h	PK-15	LT934125.1	+	77	31090	31152	31098	63	411	60
4h	PK-15	LT934125.1	+	83	31994	32045	32038	52	645	60
4h	PK-15	LT934125.1	+	92	44807	44817	44812	11	490	60
4h	PK-15	LT934125.1	+	105	48563	48616	48567	54	1262	60
4h	PK-15	LT934125.1	+	119	51220	51310	51235	91	263	60
4h	PK-15	LT934125.1	+	128	52434	52494	52460	61	377	60
4h	PK-15	LT934125.1	+	134	53564	53652	53648	89	29	60
4h	PK-15	LT934125.1	+	144	55352	55358	55352	7	17	60
4h	PK-15	LT934125.1	+	151	59014	59100	59068	87	539	60
4h	PK-15	LT934125.1	+	158	60221	60258	60234	38	20	60
4h	PK-15	LT934125.1	+	170	65805	65829	65807	25	18	60
4h	PK-15	LT934125.1	+	171	66335	66345	66338	11	36	60
4h	PK-15	LT934125.1	+	182	69159	69247	69237	89	38	60
4h	PK-15	LT934125.1	+	187	69737	69795	69765	59	18	60
4h	PK-15	LT934125.1	+	190	70079	70166	70090	88	39	60
4h	PK-15	LT934125.1	+	193	70525	70539	70531	15	655	60
4h	PK-15	LT934125.1	+	206	74397	74471	74400	75	611	60
4h	PK-15	LT934125.1	+	215	76682	76685	76683	4	24	60
4h	PK-15	LT934125.1	+	217	77987	78062	78040	76	34	60
4h	PK-15	LT934125.1	+	224	79401	79478	79444	78	684	60
4h	PK-15	LT934125.1	+	237	83975	83982	83975	8	14	60
4h	PK-15	LT934125.1	+	255	91360	91431	91412	72	59	60
4h	PK-15	LT934125.1	+	280	107391	107450	107422	60	63	60
4h	PK-15	LT934125.1	+	281	107476	107537	107482	62	64	60
4h	PK-15	LT934125.1	+	293	114979	115025	114985	47	1999	60
4h	PK-15	LT934125.1	+	298	115787	115841	115815	55	18	60
4h	PK-15	LT934125.1	+	305	116424	116463	116445	40	18	60
4h	PK-15	LT934125.1	+	307	116580	116655	116595	76	16	60
4h	PK-15	LT934125.1	+	308	116670	116737	116687	68	20	60
4h	PK-15	LT934125.1	+	309	116748	116832	116791	85	25	60
4h	PK-15	LT934125.1	+	310	117769	117781	117769	13	26	60
4h	PK-15	LT934125.1	+	317	118857	118913	118864	57	1291	60
4h	PK-15	LT934125.1	+	327	120059	120146	120130	88	14	60
4h	PK-15	LT934125.1	+	330	120499	120557	120555	59	20	60
4h	PK-15	LT934125.1	+	335	121714	121809	121784	96	360	60
4h	PK-15	LT934125.1	+	345	122920	122988	122979	69	146	60
4h	PK-15	LT934125.1	+	353	124530	124576	124530	47	13	60
4h	PK-15	LT934125.1	+	355	124736	124776	124756	41	137	60
4h	PK-15	LT934125.1	+	359	125208	125285	125225	78	853	60
4h	PK-15	LT934125.1	+	367	128015	128089	128073	75	16	60
4h	PK-15	LT934125.1	+	369	128185	128225	128185	41	17	60
4h	PK-15	LT934125.1	+	376	136157	136201	136158	45	47	60
4h	PK-15	LT934125.1	+	378	136339	136432	136348	94	93	60
6h	PK-15	LT934125.1	+	2	962	1033	990	72	136	60
6h	PK-15	LT934125.1	+	5	1326	1369	1337	44	384	60
6h	PK-15	LT934125.1	+	8	1519	1604	1600	86	147	60
6h	PK-15	LT934125.1	+	27	7569	7665	7588	97	571	60
6h	PK-15	LT934125.1	+	36	9107	9164	9113	58	338	60
6h	PK-15	LT934125.1	+	37	9225	9322	9270	98	1391	60
6h	PK-15	LT934125.1	+	41	9633	9679	9643	47	621	60
6h	PK-15	LT934125.1	+	51	10430	10467	10431	38	74	60
6h	PK-15	LT934125.1	+	73	14022	14054	14048	33	1019	60
6h	PK-15	LT934125.1	+	132	31089	31152	31098	64	1042	60
6h	PK-15	LT934125.1	+	144	32031	32131	32038	101	6338	60
6h	PK-15	LT934125.1	+	145	32135	32205	32173	71	78	60
